관리번호,대피소 명칭,대피소 상세주소,면적,수용가능최대인원,수용가능인원,행정동 코드,행정동 명칭,비고,구
47256,월계초등학교,월계2동 561(노원구 안골1길 6),,572,0,11350570,월계2동,,노원구
47257,봉제 경로당,화곡본동 산 47-16,,27,0,11500590,화곡본동,,강서구
47258,발음 경로당,내발산동 697,,27,0,11500611,발산1동,,강서구
47259,한빛사회복지관,신월4동 540-1(수양버들8길26),,280,0,11470590,신월4동,,양천구
47260,도림천주교회,도림동 161,,120,0,11560585,도림동,,영등포구
47261,구립신길5동제2경로당,신길동 343-3,,30,0,11560670,신길5동,,영등포구
47262,신길7제1구립노인정,신길동 897-3,,50,0,11560690,신길7동,,영등포구
47263,여의동 주민센터,여의도동 53-22,,5,0,11560540,여의동,,영등포구
47264,서원동주민센터,관악구 신림로 282,,50,0,11620645,서원동,,관악구
47265,신묵초등학교,묵2동 246-12(동일로 149길 46),,1000,0,11260630,묵2동,,중랑구
47266,상일동 주민센터,상일동 131-1,,0,0,11740520,상일동,,강동구
47267,신명초등학교,길동 42,,0,0,11740685,길동,,강동구
47268,홍제초등학교,홍은동 48-112,,815,0,11410660,홍은1동,,서대문구
47269,양화초등학교,목2동 542(양화길 43),,1422,0,11470520,목2동,,양천구
47270,장승중학교,상도동 175-1,,1000,0,11590540,상도2동,,동작구
47271,서울 방배 초등학교,방배4동 861-1 (방배초등길 20),,0,0,11650621,방배4동,,서초구
47272,서울우암초등학교,우면동 58,,0,0,11650651,양재1동,,서초구
47273,연희동자치회관,연희동 122-16,,100,0,11410615,연희동,,서대문구
47274,상암초등학교 (체육관,월드컵북로 353(상암동),,120,0,11440740,상암동,,마포구
47275,신용산초등학교,이촌동 301-75,,870,0,11170630,이촌1동,,용산구
47276,금북초교,금호1가 48-2(대현산2길 21),,397,0,11200590,금호1가동,,성동구
47277,영등포동 주민센터,영등포동2가 222-2,,20,0,11560535,영등포동,,영등포구
47278,용산교회,원효1가 27-29,,100,0,11170530,남영동,,용산구
47279,서울디자인고교,백범로 139(염리동),,600,0,11440610,염리동,,마포구
47280,합정동주민센터 (강당,동교로8길 58(합정동),,30,0,11440680,합정동,,마포구
47281,숭신초등학교,숭인2동 242 (종로58길 30),,100,0,11110710,숭인2동,,종로구
47282,성서중학교,성산로4길 42 (성산동),,2560,0,11440720,성산1동,,마포구
47283,능안 경로당,등촌2동 517-1,,18,0,11500530,등촌2동,,강서구
47284,인헌초등학교체육관,관악구 낙성대길 23,,500,0,11620585,낙성대동,,관악구
47285,상록보육원,1083-29,,50,0,11620630,남현동,,관악구
47286,서일정보산업고,창신3동 13 (지봉로 17길),,153,0,11110690,창신3동,,종로구
47287,을지교회,,,0,0,11140605,을지로동,,중구
47288,북성초등학교,북아현동 215,,715,0,11410555,북아현동,,서대문구
47289,서울제일교회,성내3동 437-12,,0,0,11440565,공덕동,,마포구
47290,언주초등학교,도곡1동 922 (남부순환로 북6길26),,2110,0,11680655,도곡1동,,강남구
47291,삼각교회,한강1가 305,,20,0,11170625,한강로동,,용산구
47292,용신동 주민센터,용두동 234-40,,0,0,11230536,용신동,,동대문구
47293,성산성결교회,포은로 30(합정동),,100,0,11440680,합정동,,마포구
47294,영은교회,양평동3가 8-2,,500,0,11560610,양평1동,,영등포구
47295,동빙고교회,동빙고 251-3,,30,0,11170690,서빙고동,,용산구
47296,평창동주민센터,평창동 186-9 (세검정로 347),,162,0,11110560,평창동,,종로구
47297,홍제3동주민센터,홍제동 7-13,,30,0,11410640,홍제3동,,서대문구
47298,선민교회(지하1층),성미산로19길 45,,45,0,11440590,용강동,,마포구
47299,당산1동 주민센터,당산동3가 250,,50,0,11560550,당산1동,,영등포구
47300,답십리초등학교,답시리동 276-3,,0,0,11230600,답십리1동,,동대문구
47301,복종 경로당,방화1동 494-3,,29,0,11500630,방화1동,,강서구
47302,성내도서관,성내3동 385,,0,0,11740660,성내3동,,강동구
47303,신도봉중학교,쌍문3동 94-1 (도봉로 115길 16),,3138,0,11320680,쌍문3동,,도봉구
47304,온수초등학교,온수동 산2-8,,0,0,11530790,수궁동,,구로구
47305,신내노인요양원,신내1동 642,,2132,0,11260680,신내1동,,중랑구
47306,가락중학교,송파2동 168,,1400,0,11710590,송파2동,,송파구
47307,서울창원초등학교,창5동 308 (해등로 103),,2062,0,11320515,창5동,,도봉구
47308,원묵초등학교,묵1동 11(숙선옹주로 109),,880,0,11260620,묵1동,,중랑구
47309,금옥중학교,신정3동 729(신정로 100),,270,0,11470640,신정3동,,양천구
47310,주영광교회,번동 461-66 (한천로 1004),,187,0,11710620,가락본동,,송파구
47311,신암초등학교,암사2동 517,,0,0,11740580,암사2동,,강동구
47312,홍파초등학교,제기동 678,,0,0,11230545,제기동,,동대문구
47313,금옥초교,금호4가 1254(독서당로 251),,169,0,11200620,금호4가동,,성동구
47314,동대문중학교,전농동 331,,0,0,11230560,전농1동,,동대문구
47315,청량초등학교,회기동 산 1-1,,0,0,11230710,회기동,,동대문구
