shelter,X,Y
가산동 주민센터,126.891732,37.4768485
독산1동 주민센터,126.897032,37.4702039
독산2동 주민센터,126.903462,37.4631275
독산3동 주민센터,126.903152,37.4751286
독산4동 주민센터,126.902133,37.4675413
시흥1동 주민센터,126.903339,37.4535047
시흥2동 주민센터,126.914487,37.449594
시흥3동 주민센터,126.905808,37.4402619
시흥4동 주민센터,126.90601,37.4588678
시흥5동 주민센터,126.908326,37.4507066
